DBA,BORO,ZIPCODE,Latitude,Longitude,STREET,CUISINE DESCRIPTION
BEDFORD STUDIO,Manhattan,10014,40.73120838,-74.00473751,BEDFORD STREET,Coffee/Tea
"AMALI, SOPRA",Manhattan,10022,40.76323555,-73.96861195,EAST   60 STREET,Mediterranean
CHEFSCAPE,Manhattan,10012,40.72744814,-74.0009525,WEST HOUSTON STREET,American
MAXIME'S,Manhattan,10021,40.76993773,-73.96678921,MADISON AVENUE,Mediterranean
SHAKE SHACK,Manhattan,10001,40.75398451,-73.99983036,WEST   33 STREET,Hamburgers
PLAYA BOWLS,Manhattan,10019,40.76074642,-73.98352505,7 AVENUE,"Juice, Smoothies, Fruit Salads"
FRIEND OF A FARMER,Manhattan,10003,40.73690034,-73.98664868,IRVING PLACE,American
DIMSUM GARDEN,Manhattan,10016,40.74973612,-73.97729837,LEXINGTON AVENUE,Chinese
DUNKIN' DONUTS,Manhattan,10036,40.76044831,-73.99488499,10 AVENUE,Coffee/Tea
HEYTEA,Manhattan,10018,40.7534321,-73.98715067,BROADWAY,Coffee/Tea
BEST FOOD & COFFEE RESTAURANT,Manhattan,10009,40.72147107,-73.98015445,EAST    3 STREET,Spanish
DUNKIN,Manhattan,10006,40.70812685,-74.01412823,RECTOR STREET,Donuts
EL MANANTIAL BAKERY,Manhattan,10032,40.84298016,-73.93834467,SAINT NICHOLAS AVENUE,Bakery Products/Desserts
NEW HAPPY JOY CHINESE KITCHEN,Manhattan,10019,40.76570428,-73.99102546,10 AVENUE,Chinese
MIZNON,Manhattan,10018,40.75348973,-73.98711095,BROADWAY,Jewish/Kosher
UNREGULAR PIZZA,Manhattan,10003,40.73340384,-73.9898824,4 AVENUE,Pizza
OLIVE'S,Manhattan,10280,40.71153017,-74.01567279,LIBERTY STREET,Sandwiches/Salads/Mixed Buffet
OKIS SOUL FOOD RESTAURANT,Manhattan,10035,40.80556486,-73.94027587,EAST  125 STREET,Other
YI JI SHI MO NOODLE,Manhattan,10013,40.71820644,-73.99594523,ELIZABETH STREET,Chinese
VATAN,Manhattan,10016,40.74238899,-73.98053794,3 AVENUE,Indian
LEXINGTON CANDY SHOP LUNCHEONETTE,Manhattan,10028,40.77744691,-73.95708719,LEXINGTON AVENUE,American
LEVAIN BAKERY,Manhattan,10024,40.78164707,-73.97940344,AMSTERDAM AVENUE,Bakery Products/Desserts
MACE,Manhattan,10011,40.73306118,-73.99825,WEST    8 STREET,New American
STROMBOLI PIZZA,Manhattan,10003,40.72774643,-73.98564751,ST MARKS PLACE,Pizza
EL PORTON BAR & RESTAURANT,Manhattan,10027,40.81431519,-73.95929957,BROADWAY,Mexican
NICK'S PIZZA,Manhattan,10128,40.78277628,-73.94814662,2 AVENUE,Italian
FIVE GUYS FAMOUS BURGERS AND FRIES,Manhattan,10036,40.75687421,-73.98892951,WEST   42 STREET,Hamburgers
KOBEQUE,Manhattan,10001,40.74740722,-73.98609078,WEST   32 STREET,Korean
COOK EATERY,Manhattan,10018,40.75370382,-73.98704594,BROADWAY,Fusion
JAMBA JUICE,Manhattan,10018,40.75618542,-73.99056473,8 AVENUE,Fruits/Vegetables
UNDERGROUND PIZZA,Manhattan,10004,40.70482809,-74.00977061,WILLIAM STREET,Pizza
MASTRO'S STEAKHOUSE,Manhattan,10019,40.76074583,-73.97981783,AVENUE OF THE AMERICAS,Steakhouse
DUNKIN,Manhattan,10121,40.75000977,-73.99134519,PENNSYLVANIA PLAZA,Donuts
ISLA,Manhattan,10018,40.75139505,-73.98375476,WEST   38 STREET,Australian
STARBUCKS COFFEE,Manhattan,10025,40.79498061,-73.96595683,COLUMBUS AVENUE,Coffee/Tea
PAQ'S TAKE OUT,Manhattan,10003,40.72802082,-73.98498358,1 AVENUE,Mexican
The Weather Room,Manhattan,10112,40.75874744,-73.97869222,ROCKEFELLER PLAZA,Coffee/Tea
SOHO ROOM,Manhattan,10012,40.72528796,-74.00344909,SPRING STREET,American
OH K-DOG & EGG TOAST,Manhattan,10019,40.76819321,-73.98551962,9 AVENUE,Korean
Deli El Chapincito,Manhattan,10016,40.74416224,-73.98136024,LEXINGTON AVENUE,Latin American
BISTRO LES AMIS,Manhattan,10012,40.72481863,-74.00252186,SPRING STREET,French
PLAYA BOWLS,Manhattan,10004,40.70427914,-74.00978495,PEARL STREET,"Juice, Smoothies, Fruit Salads"
TAVERNA KYCLADES,Manhattan,10009,40.73105073,-73.98276028,1 AVENUE,Greek
FACES & NAMES,Manhattan,10019,40.76329861,-73.98072675,WEST   54 STREET,New American
MAMOUNS FALAFEL,Manhattan,10024,40.78546093,-73.97293115,COLUMBUS AVENUE,Middle Eastern
YAKITORI TOTTO,Manhattan,10019,40.76499795,-73.98282727,WEST   55 STREET,Japanese
OASIS JIMMA JUICE BAR,Manhattan,10027,40.81464722,-73.95905732,BROADWAY,"Juice, Smoothies, Fruit Salads"
"JP MORGAN CHASE BANK, CLIENT DINING ROOM",Manhattan,10017,40.75573065,-73.97715194,MADISON AVENUE,American
VIAND CAFE,Manhattan,10023,40.78073066,-73.98137885,BROADWAY,American
WXYZ BAR,Manhattan,10038,40.71029863,-74.00682809,ANN STREET,American
BROOKLYN CHOP HOUSE,Manhattan,10038,40.71153382,-74.00602744,NASSAU STREET,Steakhouse
VILLA FRESH ITALIAN KITCHEN,Manhattan,10018,40.75618542,-73.99056473,8 AVENUE,Pizza
LE ZIE TRATTORIA,Manhattan,10011,40.74236864,-73.9969109,7 AVENUE,Italian
XE MAY,Manhattan,10009,40.72740598,-73.9848827,ST MARKS PLACE,Sandwiches/Salads/Mixed Buffet
BUTTERCUP BAKESHOP,Manhattan,10022,40.75584095,-73.96782858,2 AVENUE,Bakery Products/Desserts
SUBWAY,Manhattan,10018,40.75317959,-73.98720847,BROADWAY,Sandwiches
OMAKASE SUSHI BY NONAME,Manhattan,10002,40.71816506,-73.99194457,ELDRIDGE STREET,Japanese
WING GONG RESTAURANT,Manhattan,10029,40.79113228,-73.9389707,1 AVENUE,Chinese
SWEETGREEN,Manhattan,10036,40.75534476,-73.98373213,6 AVENUE,Salads
LA DELICE PASTRY SHOP,Manhattan,10016,40.7412528,-73.98138993,3 AVENUE,Bakery Products/Desserts
PASQUALE JONES,Manhattan,10012,40.72119826,-73.99670625,KENMARE STREET,Italian
MOTHER'S RUIN,Manhattan,10012,40.72140406,-73.99497458,SPRING STREET,American
NEAT BURGER,Manhattan,10012,40.72165117,-73.99731953,CLEVELAND PLACE,American
JUSTINO'S,Manhattan,10019,40.76947808,-73.98830284,10 AVENUE,Pizza
HAN DYNASTY,Manhattan,10003,40.73211362,-73.98805324,3 AVENUE,Chinese
TACOMBI,Manhattan,10118,40.7482689,-73.98469027,5 AVENUE,Tex-Mex
COYOTE UGLY SALOON,Manhattan,10003,40.73293686,-73.98632835,EAST   14 STREET,American
HANK'S PIZZA / LAZZARO,Manhattan,10006,40.70949401,-74.01181284,TRINITY PLACE,Pizza
PARIS BAGUETTE CAFE,Manhattan,10025,40.79501232,-73.97150066,BROADWAY,Bakery Products/Desserts
CAFE 23,Manhattan,10022,40.7591348,-73.96833956,3 AVENUE,American
ROMA PIZZA RESTAURANT,Manhattan,10128,40.77827498,-73.94836317,1 AVENUE,Pizza
BUTTERCUP BAKE SHOP,Manhattan,10016,40.74699242,-73.9835032,MADISON AVENUE,Bakery Products/Desserts
STARBUCKS,Manhattan,10172,40.75555731,-73.97513791,PARK AVENUE,Coffee/Tea
DOUBLE TWISTER ICE CREAM AND COFFEE SHOP,Manhattan,10075,40.76980882,-73.95159732,YORK AVENUE,Frozen Desserts
KUNG FU TEA,Manhattan,10002,40.7171469,-73.99437247,CHRYSTIE STREET,Coffee/Tea
B CUP CAFE,Manhattan,10009,40.72859622,-73.97865139,AVENUE B,American
SIDE BAR,Manhattan,10001,40.75543921,-74.00221983,HUDSON YARDS,Coffee/Tea
QAHWAH HOUSE,Manhattan,10025,40.80511424,-73.96601665,BROADWAY,Coffee/Tea
THE BLUE DOG COOKHOUSE AND BAR,Manhattan,10019,40.7624513,-73.98652803,WEST   50 STREET,American
BELFRY,Manhattan,10003,40.73298903,-73.98649792,EAST   14 STREET,American
VILLAGE SQUARE PIZZA II,Manhattan,10014,40.73317359,-74.00560363,CHRISTOPHER ST WEST,Pizza
TIPICO56,Manhattan,10034,40.86488172,-73.92243444,SHERMAN AVENUE,Latin American
GROTTA AZZURRA,Manhattan,10013,40.72032269,-73.99691553,MULBERRY STREET,Italian
UTSHOB RESTAURANT,Manhattan,10009,40.727428,-73.98539502,1 AVENUE,Bangladeshi
CAFE SERAFINA,Manhattan,10019,40.76640544,-73.97940817,7 AVENUE,Sandwiches/Salads/Mixed Buffet
LOCANUT,Manhattan,10011,40.74236042,-74.00276792,WEST   17 STREET,Sandwiches/Salads/Mixed Buffet
LE CHARLOT,Manhattan,10021,40.76975104,-73.96661601,EAST   69 STREET,French
MCDONALD'S,Manhattan,10016,40.7448178,-73.97879053,3 AVENUE,Hamburgers
PENGUIN ICE CREAM,Manhattan,10013,40.71696312,-73.9982396,CANAL STREET,Frozen Desserts
JOE'S PUB,Manhattan,10003,40.72892456,-73.99221748,LAFAYETTE STREET,American
SUSHI 456,Manhattan,10014,40.73142512,-74.00664985,HUDSON STREET,Japanese
DUNKIN,Manhattan,10031,40.82108187,-73.95436,BROADWAY,Donuts
UPTOWN CREPES II,Manhattan,10032,40.83702633,-73.94269052,BROADWAY,Other
NOWHERE,Manhattan,10003,40.73197041,-73.98407703,EAST   14 STREET,American
JACK'S WIFE FREDA,Manhattan,10012,40.72209856,-73.99730869,LAFAYETTE STREET,Middle Eastern
WIMPY'S RESTAURANT,Manhattan,10032,40.84329568,-73.93811668,ST NICHOLAS AVENUE,American
NATIONAL ARTS CLUB,Manhattan,10003,40.7377759,-73.98648252,GRAMERCY PARK SOUTH,American
SERAFINA FABULOUS PIZZA,Manhattan,10075,40.77599679,-73.96236681,MADISON AVENUE,Italian
SAMMY'S ROUMANIAN STEAKHOUSE,Manhattan,10002,40.72113175,-73.98742749,STANTON STREET,Steakhouse
BLUESTONE LANE,Manhattan,10128,40.7839689,-73.95832877,EAST   90 STREET,American
99C PIZZA,Manhattan,10002,40.72278693,-73.98820644,EAST HOUSTON STREET,Pizza
SARGE'S,Manhattan,10016,40.74726304,-73.9770105,3 AVENUE,Sandwiches
CASA ADELA RESTAURANT,Manhattan,10009,40.72276105,-73.97980412,AVENUE C,Latin American
NIUKEE SHUMAI,Manhattan,10013,40.7206054,-73.99708868,BROOME STREET,Asian/Asian Fusion
BAR HUGO,Manhattan,10013,40.72635812,-74.00902334,GREENWICH STREET,American
THE FAMOUS JIMBO'S HAMBURGER PALACE,Manhattan,10034,40.86426732,-73.91906199,10 AVENUE,Hamburgers
MARUFUKU RAMEN,Manhattan,10003,40.72698648,-73.98881904,2 AVENUE,Japanese
BONDI SUSHI,Manhattan,10001,40.74458576,-73.98737252,5 AVENUE,Japanese
810 DELI & CAFE,Manhattan,10019,40.76263186,-73.98214562,7 AVENUE,American
SOFT SWERVE,Manhattan,10002,40.71804696,-73.9909814,ALLEN STREET,Frozen Desserts
STARBUCKS,Manhattan,10021,40.77104326,-73.95673752,2 AVENUE,Coffee/Tea
IPIZZA,Manhattan,10019,40.76181182,-73.98691441,WEST   49 STREET,
DUNKIN,Manhattan,10011,40.74309036,-73.99322628,WEST   23 STREET,Donuts
THE PARISIAN TEA ROOM,Manhattan,10018,40.75405571,-73.99387485,WEST   36 STREET,Coffee/Tea
MIMI'S PIZZA,Manhattan,10024,40.7893783,-73.97563804,BROADWAY,Pizza
FATOUSHA  RESTAURANT,Manhattan,10014,40.73198793,-74.0037417,7 AVENUE SOUTH,Mediterranean
TACO BELL,Manhattan,10019,40.76268727,-73.98579879,8 AVENUE,Tex-Mex
CHINELOS II DELI-GROCERY RESTAURANT,Manhattan,10031,40.82013168,-73.95310333,WEST  136 STREET,Mexican
FRESH CURRY,Manhattan,10007,40.71568109,-74.00732645,CHURCH STREET,Bangladeshi
MIGHTY BOWL,Manhattan,10012,40.72980041,-74.00063863,MACDOUGAL STREET,Asian/Asian Fusion
ONE TWO THAI,Manhattan,10016,40.74553435,-73.97973223,EAST   33 STREET,Thai
BLAGGARD'S PUB,Manhattan,10018,40.75120835,-73.98335418,WEST   38 STREET,Irish
THE BEST OF NEW YORK FOOD,Manhattan,10005,40.70598938,-74.00624334,WATER STREET,American
LITTLE ITALY PIZZA,Manhattan,10025,40.79173541,-73.97283469,WEST   92 STREET,Pizza
STARBUCKS COFFEE #77901,Manhattan,10007,40.71383601,-74.01379037,WEST STREET,Coffee/Tea
THE FLOWER SHOP,Manhattan,10002,40.71806351,-73.99202034,ELDRIDGE STREET,American
EL CANTINERO,Manhattan,10003,40.73356876,-73.99310457,UNIVERSITY PLACE,Mexican
