DBA,BORO,ZIPCODE,Latitude,Longitude,STREET,CUISINE DESCRIPTION
BAR ITALIA,Manhattan,10065,40.7678247,-73.96832819,MADISON AVENUE,Italian
O'NIEALS,Manhattan,10013,40.7195432,-73.99794011,GRAND STREET,American
HOMETOWN HOTPOT & BBQ,Manhattan,10013,40.71921106,-73.99695527,GRAND STREET,
AKURA SUSHI LLC,Manhattan,10016,40.74566401,-73.98387525,EAST   31 STREET,
COFFEE PROJECT NY,Manhattan,10003,40.72731598,-73.99025134,EAST    5 STREET,Coffee/Tea
AMBER,Manhattan,10014,40.73296766,-74.00689176,CHRISTOPHER STREET,Other
SALA THAI,Manhattan,10023,40.78018704,-73.98046547,AMSTERDAM AVENUE,Thai
LA GOURMET,Manhattan,10022,40.76200616,-73.96958358,EAST   58 STREET,American
787 COFFEE ROASTERS,Manhattan,10036,40.75920426,-73.98653591,WEST   46 STREET,
CASA LATINA RESTAURANT NYC LLC,Manhattan,10033,40.85031659,-73.93300986,SAINT NICHOLAS AVENUE,
MOCHA BURGER,Manhattan,10012,40.72735482,-73.99956705,LAGUARDIA PLACE,Jewish/Kosher
TAKE SUSHI & BOWL,Manhattan,10065,40.76132653,-73.96382627,2 AVENUE,Japanese
HAPPY WORLD,Manhattan,10033,40.84574028,-73.93635419,SAINT NICHOLAS AVENUE,Chinese
2 BROS PIZZA,Manhattan,10019,40.76316977,-73.98175199,7 AVENUE,
PUNTO DE SABOR,Manhattan,10033,40.85072263,-73.93268775,ST NICHOLAS AVENUE,Latin American
FRANCESCO PIZZERIA,Manhattan,10023,40.77509004,-73.98049586,COLUMBUS AVENUE,Pizza
Close Up,Manhattan,10002,40.72078057,-73.98885616,ORCHARD STREET,
FRANKLIN SQUARE CAFE @ HARPER COLLINS,Manhattan,10007,40.71052901,-74.00937828,BROADWAY,American
KIM TANG 888 INC,Manhattan,10031,40.82316176,-73.95281936,BROADWAY,
FAMOUS FAMIGLIA PIZZERIA,Manhattan,10036,40.75815603,-73.98909895,8 AVENUE,Pizza
TAKAHACHI BAKERY,Manhattan,10007,40.71358127,-74.00836148,MURRAY STREET,Bakery Products/Desserts
SIX HAPPINESS TO GO,Manhattan,10016,40.74748745,-73.97392108,2 AVENUE,Chinese
AARON'S CHINESE AND THAI,Manhattan,10001,40.75048493,-73.99840473,9 AVENUE,Chinese
PLAYA BOWLS,Manhattan,10018,40.75129947,-73.98765638,BROADWAY,"Juice, Smoothies, Fruit Salads"
UBER,Manhattan,10007,40.71096789,-74.01235777,GREENWICH STREET,American
TAIM,Manhattan,10012,40.7218762,-73.99607849,SPRING STREET,Mediterranean
POCHA 32,Manhattan,10001,40.74744292,-73.98617017,WEST   32 STREET,Korean
ROSIE O'GRADY'S,Manhattan,10020,40.76135003,-73.98196908,WEST   51 STREET,American
THE PLUG,Manhattan,10032,40.83939789,-73.93762158,WEST  167 STREET,Coffee/Tea
LENOX FAST FOOD,Manhattan,10037,40.81900977,-73.9372867,LENOX AVENUE,American
WAT'S ON YOUR PLATE,Manhattan,10031,40.82550655,-73.94824327,WEST  145 STREET,Caribbean
"FOODA, INC",Manhattan,10036,40.75762868,-73.98580348,BROADWAY,
RADIO CITY MUSIC HALL,Manhattan,10020,40.75998287,-73.98034869,AVENUE OF THE AMERICAS,American
WONDER PHO,Manhattan,10128,40.77870301,-73.94802342,1 AVENUE,
HEY TEA,Manhattan,10001,40.74954012,-73.98797792,BROADWAY,Other
TIGER SUGAR,Manhattan,10013,40.71700704,-73.99831896,CANAL STREET,Coffee/Tea
PICKY BARISTA,Manhattan,10025,40.79082866,-73.96897809,COLUMBUS AVENUE,Coffee/Tea
Fiore Harlem,Manhattan,10027,40.80886626,-73.94469445,LENOX AVENUE,
TANDOOR OVEN,Manhattan,10028,40.77714734,-73.95606196,EAST   83 STREET,Indian
NANA THAI STREET,Manhattan,10010,40.73959869,-73.98894683,EAST   21 STREET,Thai
CAFE JOAH,Manhattan,10009,40.72985918,-73.98074006,AVENUE A,American
"DUNKIN', 'BASKIN ROBBINS",Manhattan,10128,40.78487664,-73.94954607,THIRD AVENUE,Donuts
AMY'S BREAD,Manhattan,10016,40.75199589,-73.98195358,5 AVENUE,Coffee/Tea
CAROL'S BUN,Manhattan,10002,40.71391888,-73.99157355,EAST BROADWAY,Chinese
AIR MAIL,Manhattan,10014,40.73486159,-74.00610173,HUDSON STREET,
PLATFORM/GOOD TO GO,Manhattan,10011,40.743082,-74.00865029,11 AVENUE,American
JKCSNY INC,Manhattan,10036,40.75406824,-73.98232117,WEST   42 STREET,
HANOI HOUSE,Manhattan,10009,40.72726045,-73.98449668,SAINT MARKS PLACE,Asian/Asian Fusion
SUNN'S REYNOLDS LLC,Manhattan,10002,40.71449524,-73.99106124,DIVISION STREET,
KOOK BURGER & BAR,Manhattan,10014,40.73127976,-74.00412052,7 AVENUE SOUTH,
LITTLE OWL,Manhattan,10014,40.73221019,-74.00531489,BEDFORD STREET,
UPTOWN JUICE & VEG,Manhattan,10035,40.80558135,-73.94031197,EAST  125 STREET,Caribbean
LA TRAVIATA PIZZA,Manhattan,10023,40.77494189,-73.98086056,WEST   68 STREET,Pizza
MASAWA,Manhattan,10027,40.80989871,-73.95878571,AMSTERDAM AVENUE,Ethiopian
ROSECRANS,Manhattan,10014,40.73415361,-73.99971133,GREENWICH AVENUE,Coffee/Tea
THE COPPOLA CAFE,Manhattan,10014,40.7321856,-74.0015371,WEST    4 STREET,Italian
CIPRIANI 42ND STREET,Manhattan,10017,40.75180011,-73.97694396,EAST   42 STREET,Italian
ACES,Manhattan,10003,40.73129542,-73.9857153,2 AVENUE,American
KUNG FU TEA,Manhattan,10018,40.75154607,-73.98415174,WEST   38 STREET,Other
KABAB TOWN,Manhattan,10013,40.71640046,-74,BAXTER ST,
STARBUCKS COFFEE # 85552,Manhattan,10112,40.75874744,-73.97869222,ROCKEFELLER PLAZA,
FRIENDLY GOURMET PIZZA,Manhattan,10038,40.70917314,-74.00877573,NASSAU STREET,American
CRUZ BAKERY,Manhattan,10032,40.83633603,-73.94000601,SAINT NICHOLAS AVENUE,Bakery Products/Desserts
SAGAPONACK,Manhattan,10010,40.74108924,-73.99060297,WEST   22 STREET,Seafood
PIPPALI,Manhattan,10016,40.74215336,-73.98320849,EAST   27 STREET,Indian
CIRCLE IN THE SQUARE THEATRE,Manhattan,10019,40.76156716,-73.98396163,BROADWAY,American
PER SE,Manhattan,10019,40.76780849,-73.98226697,COLUMBUS CIRCLE,French
BROOKLYN BAGEL & COFFEE COMPANY,Manhattan,10003,40.73089262,-73.99311928,EAST    8 STREET,Bagels/Pretzels
MOCHA BURGER,Manhattan,10017,40.75587917,-73.97870397,EAST   46 STREET,
AVE D PIZZERIA,Manhattan,10009,40.7204991,-73.97836178,AVENUE D,Pizza
PLOO,Manhattan,10001,40.7509267,-74.00595522,WEST   26 STREET,Mexican
MEZZE BARISTA BAR @ PFIZER,Manhattan,10001,40.75548041,-74.00021296,HUDSON BLVD EAST,Coffee/Tea
IPIZZANY,Manhattan,10016,40.74467726,-73.9759612,2 AVENUE,Pizza
EL KALLEJON BOTANAS,Manhattan,10035,40.79843061,-73.93905066,EAST  117 STREET,Mexican
BURRITO LOCO,Manhattan,10014,40.73201268,-74.00140359,WEST    4 STREET,Tex-Mex
EAST HARLEM SAVORY AND SWEETS,Manhattan,10029,40.79296268,-73.94366398,3 AVENUE,
OSCAR WILDE'S,Manhattan,10001,40.7448687,-73.9896569,WEST   27 STREET,American
WARREN PEACE,Manhattan,10007,40.71518956,-74.01025551,WARREN STREET,
IPIZZA NY,Manhattan,10019,40.76247085,-73.98970108,9 AVENUE,Pizza
REBEL,Manhattan,10002,40.7204589,-73.98436479,CLINTON STREET,Caribbean
CAFE GITANE,Manhattan,10012,40.72326226,-73.99479406,MOTT STREET,French
MILU,Manhattan,10010,40.74117656,-73.98562656,PARK AVENUE SOUTH,Chinese
BAYARD'S ALEHOUSE,Manhattan,10014,40.7343291,-74.00620993,HUDSON STREET,American
CAFE GUSTO II,Manhattan,10013,40.71582126,-74.00353878,WORTH STREET,American
NOODLE VILLAGE,Manhattan,10013,40.7162385,-73.99810254,MOTT STREET,
YORK AVE PIZZA,Manhattan,10021,40.76741682,-73.95511894,EAST   72 STREET,Pizza
SOUVLAKI GR KOUZINA,Manhattan,10022,40.75735901,-73.96857142,EAST   53 STREET,Greek
DH NOODLES,Manhattan,10011,40.73258357,-73.99712785,WEST    8 STREET,Other
KONO,Manhattan,10013,40.71568951,-73.99641433,BOWERY,Japanese
WU LIANG YE,Manhattan,10036,40.75800382,-73.97985837,WEST   48 STREET,Chinese
MADMAN ESPRESSO,Manhattan,10019,40.76681223,-73.98280875,8 AVENUE,
KIN KHAO THAI KITCHEN,Manhattan,10032,40.84065976,-73.93634461,AMSTERDAM AVENUE,Thai
RED PAPER CLIP,Manhattan,10014,40.73316261,-74.00566497,CHRISTOPHER STREET,
LE BASKET,Manhattan,10012,40.7279064,-73.99468545,BROADWAY,American
DUPBOPBRO,Manhattan,10002,40.72130964,-73.98334003,EAST HOUSTON STREET,
BIG WONG RESTAURANT,Manhattan,10013,40.71611773,-73.99819994,MOTT STREET,Chinese
KING JAMAICAN AND AMERICAN,Manhattan,10039,40.82209564,-73.93872541,7 AVENUE,Caribbean
OCULUS BEER GARDEN,Manhattan,10007,40.71217579,-74.01035965,VESEY STREET,American
CRAFT & CARRY,Manhattan,10024,40.78536844,-73.97671562,AMSTERDAM AVENUE,American
COMA BUENO RESTAURANT,Manhattan,10025,40.79949471,-73.96268577,COLUMBUS AVENUE,Spanish
SONS OF ESSEX,Manhattan,10002,40.72006403,-73.9874313,ESSEX STREET,American
THINK COFFEE,Manhattan,10010,40.73806923,-73.9837075,3 AVENUE,Coffee/Tea
SUSHI BAR,Manhattan,10021,40.76993773,-73.96678921,MADISON AVENUE,
MILLENIUM HILTON,Manhattan,10007,40.71144567,-74.01050382,CHURCH STREET,American
SWEETGREEN,Manhattan,10016,40.74606997,-73.98209233,PARK AVENUE,Salads
MOKAFE TIMES SQUARE CORP.,Manhattan,10036,40.75814505,-73.98913144,8 AVENUE,
PLANTSHED,Manhattan,10024,40.78699223,-73.97178939,COLUMBUS AVENUE,Coffee/Tea
CASA MEXICANA,Manhattan,10025,40.79903484,-73.96674213,AMSTERDAM AVENUE,Mexican
EL PARADOR CAFE,Manhattan,10016,40.74434764,-73.97484618,EAST   34 STREET,
THE LITTLE BEET,Manhattan,10021,40.76620168,-73.95717749,1 AVENUE,American
MANHATTAN MONSTER,Manhattan,10014,40.733407,-74.00242837,GROVE STREET,American
KINGS KITCHEN 92 INC,Manhattan,10002,40.71376531,-73.99371625,EAST BROADWAY,Chinese
HUNTER DELI,Manhattan,10021,40.76939036,-73.96296625,LEXINGTON AVENUE,American
YAKINIKU FUTAGO SOHO LLC,Manhattan,10013,40.722642,-74.00352832,WEST BROADWAY,
HIMALAYAN CURRY HOUSE,Manhattan,10025,40.80266072,-73.96698232,WEST  108 STREET,Indian
SANMIWAGO,Manhattan,10013,40.71745161,-73.99534645,BOWERY,Chinese
RICHARD ROGERS THEATRE,Manhattan,10036,40.75904777,-73.98621107,WEST   46 STREET,American
BREADS BAKERY,Manhattan,10018,40.75306938,-73.98388067,W 40TH ST,Bakery Products/Desserts
BREADS BAKERY,Manhattan,10003,40.73704362,-73.9928444,5 AVENUE,Bakery Products/Desserts
STORE OF PASTA LLC.,Manhattan,10009,40.72887107,-73.98080529,EAST   12 STREET,
OCEANS,Manhattan,10003,40.73763336,-73.98823267,PARK AVENUE SOUTH,Seafood
MUSCLE MAKER GRILL,Manhattan,10036,40.76319021,-73.99288851,10 AVENUE,American
BATHTUB GIN,Manhattan,10011,40.7436175,-74.00339952,9 AVENUE,American
FROZEN LOVE INC,Manhattan,10027,40.80619706,-73.94778152,WEST  122 STREET,
POPEYES,Manhattan,10010,40.74125586,-73.98345772,LEXINGTON AVENUE,Chicken
LA COLOMBE,Manhattan,10005,40.70541557,-74.0085985,WALL ST,Coffee/Tea
BARACHOU,Manhattan,10024,40.78477016,-73.97712388,AMSTERDAM AVENUE,French
$1 PIZZA,Manhattan,10001,40.74651011,-73.99015829,6 AVENUE,Pizza
UNIQLO USA LLC,Manhattan,10103,40.76054207,-73.97642111,5TH AVE,
E.A.T. CAFE,Manhattan,10028,40.77737158,-73.96136588,MADISON AVENUE,American
BROWN BAG SANDWICH CO,Manhattan,10012,40.72906755,-73.99911242,THOMPSON STREET,Italian
TANGY NOODLE,Manhattan,10011,40.7402799,-74.00212188,8 AVENUE,Chinese
BAKERY MOCANA,Manhattan,10040,40.85314792,-73.93091403,SAINT NICHOLAS AVENUE,Bakery Products/Desserts
PIER 25 SNACK BAR,Manhattan,10013,40.71996526,-74.01225483,WEST STREET,American
TORTARIA,Manhattan,10003,40.73374168,-73.99295661,UNIVERSITY PLACE,Mexican
N & F GLOBAL CORP,Manhattan,10001,40.75054191,-73.98754102,HERALD SQ,
FRIEDMAN'S,Manhattan,10018,40.75528827,-73.99861758,10 AVENUE,American
BRISAS DEL MAR SEAFOOD MARKET,Manhattan,10029,40.79520536,-73.94409909,LEXINGTON AVENUE,Seafood
MACHI MACHI NOMAD INC,Manhattan,10001,40.74759392,-73.98653104,WEST   32 STREET,
PROOF COFFEE ROASTER,Manhattan,10016,40.73955849,-73.97703842,EAST   27 STREET,Coffee/Tea
ANA BAR AND EATERY,Manhattan,10001,40.75303757,-74.00028153,HUDSON YARDS,American
HUDSON CLEARWATER,Manhattan,10014,40.73104908,-74.00672919,HUDSON STREET,French
KABAB TOWN,Manhattan,10013,40.71770148,-73.99954547,CANAL STREET,Mediterranean
A10 KITCHEN,Manhattan,10009,40.72808352,-73.98203945,AVENUE A,American
MANHATTAN ELITE,Manhattan,10011,40.74799239,-74.00849574,CHELSEA PIERS,
RED KUP,Manhattan,10031,40.82417368,-73.94466361,SAINT NICHOLAS AVENUE,Coffee/Tea
CELLAR DOG,Manhattan,10014,40.7335552,-74.00327271,CHRISTOPHER STREET,American
PIZZA PLUS,Manhattan,10004,40.7016879,-74.01163113,SOUTH STREET,Pizza
SHINJUKU RAMEN,Manhattan,10019,40.76303427,-73.976265,WEST   56 STREET,Japanese
BARRY'S BOOTCAMP FUEL BAR,Manhattan,10013,40.7210774,-74.00575413,YORK STREET,"Juice, Smoothies, Fruit Salads"
TSURUTONTAN UDON NOODLE BRASSERIE,Manhattan,10003,40.73709572,-73.99209022,EAST   16 STREET,Japanese
CAFE AND SPIRITS INC,Manhattan,10012,40.72566129,-74.00198432,THOMPSON STREET,
GREEN GENERATION NYC INC,Manhattan,10025,40.79244094,-73.97337613,BROADWAY,"Juice, Smoothies, Fruit Salads"
THE BOWERY HOTEL BAR,Manhattan,10003,40.72603979,-73.99190754,BOWERY,American
VIN SUR VINGT,Manhattan,10069,40.77603817,-73.98968454,RIVERSIDE BOULEVARD,French
LAIL NYC,Manhattan,10019,40.76689464,-73.98329609,WEST   57 STREET,
TIPSY SHANGHAI,Manhattan,10003,40.72747776,-73.98846538,2 AVENUE,
AB STABLE LLC,Manhattan,10022,40.75664132,-73.97435785,PARK AVENUE,
CHIPOTLE MEXICAN GRILL,Manhattan,10013,40.71881857,-74.00235929,BROADWAY,Tex-Mex
SEDUTTO,Manhattan,10075,40.77181035,-73.95305806,1 AVENUE,Frozen Desserts
AT NINE RESTAURANT & BAR,Manhattan,10036,40.7587821,-73.99235475,9 AVENUE,Thai
COSMIC DINER,Manhattan,10019,40.764065,-73.98479132,8 AVENUE,American
PAISLEY RESTAURANT,Manhattan,10013,40.72221346,-74.0097407,GREENWICH STREET,Indian
STONED PIZZA,Manhattan,10002,40.71872776,-73.99221146,BROOME STREET,
LUKE'S LOBSTER,Manhattan,10028,40.7751626,-73.95533033,EAST   81 STREET,Seafood
OHHI DELI AND KITCHEN,Manhattan,10016,40.74241667,-73.98194896,EAST   28 STREET,Bangladeshi
PRINTEMPS,Manhattan,10005,40.70770444,-74.011643,WALL ST,
DANTE WEST VILLAGE,Manhattan,10014,40.73523488,-74.00606207,HUDSON STREET,Italian
THE MEATBALL SHOP,Manhattan,10019,40.76525932,-73.98763573,9 AVENUE,American
UNITED CHOCOLATE WORKS LLC,Manhattan,10001,40.75050916,-73.98947917,WEST   34 STREET,
JOSE LUIS LITTLE ITALY,Manhattan,10013,40.71767676,-73.99823597,MULBERRY STREET,Italian
PALM RESTAURANT,Manhattan,10019,40.76182257,-73.98503369,WEST   50 STREET,Steakhouse
PIO BAGEL,Manhattan,10018,40.75064327,-73.98584828,WEST   36 STREET,American
PADI D' NYC,Manhattan,10036,40.75406824,-73.98232117,WEST   42 STREET,Asian/Asian Fusion
TIPSY NOMAD,Manhattan,10016,40.74382521,-73.98525428,EAST   28 STREET,American
PASTITALIA,Manhattan,10027,40.80671237,-73.94624229,LENOX AVENUE,Italian
CAFE MANHATTAN,Manhattan,10036,40.75594266,-73.98074693,WEST   45 STREET,American
LE PETIT PARISIEN,Manhattan,10065,40.76298489,-73.96552201,3 AVENUE,
SYLLA'S RESTAURANT,Manhattan,10035,40.80021651,-73.94256341,PARK AVENUE,African
MOGE TEE,Manhattan,10003,40.7291879,-73.99015725,COOPER SQUARE,"Juice, Smoothies, Fruit Salads"
ANTOYA,Manhattan,10001,40.74762961,-73.98661043,WEST   32 STREET,Korean
ALICE'S TEA CUP CHAPTER II,Manhattan,10065,40.76519992,-73.96556779,EAST   64 STREET,
Avenida,Manhattan,10119,40.75109132,-73.9929259,PENN PLAZA,Mexican
BARNEY GREENGRASS,Manhattan,10024,40.78782461,-73.9748947,AMSTERDAM AVENUE,Jewish/Kosher
HUMAN RESOURCES,Manhattan,10017,40.75327695,-73.97775555,VANDERBILT AVENUE,
LOCO COCO,Manhattan,10025,40.80633813,-73.96512741,BROADWAY,"Juice, Smoothies, Fruit Salads"
BLISSFULLY HOSPITALITY LLC,Manhattan,10013,40.71841464,-74.01045802,GREENWICH STREET,
AMURA JAPANESE RESTAURANT,Manhattan,10028,40.77489581,-73.9539224,2 AVENUE,Japanese
HONG KONG CHINESE RESTAURANT,Manhattan,10029,40.79270576,-73.945925,LEXINGTON AVENUE,Chinese
BRONX BURGER CO,Manhattan,10036,40.75920426,-73.98653591,WEST   46 STREET,
THE HUMMUS & PITA CO.,Manhattan,10028,40.77855983,-73.95336381,EAST   86 STREET,Mediterranean
KAME,Manhattan,10001,40.74750409,-73.99686374,8 AVENUE,Japanese
BLUE RIBBON SUSHI BAR & GRILL,Manhattan,10019,40.7675808,-73.98310819,COLUMBUS CIRCLE,Japanese
SUSHI YOLO,Manhattan,10019,40.76729277,-73.98428155,WEST   57 STREET,Japanese
MIRACLE CLEANERS,Manhattan,10010,40.74266744,-73.99019495,WEST   24 STREET,
787 COFFEE,Manhattan,10021,40.76670958,-73.95750207,EAST   70 STREET,Coffee/Tea
HERO,Manhattan,10020,40.7580034,-73.97759514,5 AVENUE,
COGNAC 5TH AVENUE,Manhattan,10017,40.75227857,-73.98174777,5 AVENUE,
YAKI SUSHI,Manhattan,10003,40.73298903,-73.98645462,EAST   14 STREET,Asian/Asian Fusion
CROWN FRIED CHICKEN,Manhattan,10032,40.83489531,-73.94053131,AMSTERDAM AVENUE,Chicken
DIM SUM SAM,Manhattan,10010,40.74071293,-73.9876403,EAST   23 STREET,Chinese
GRAMERCY ALE HOUSE,Manhattan,10010,40.73789633,-73.98383384,3 AVENUE,American
HUNGRY GHOST COFFEE,Manhattan,10007,40.71514309,-74.00775205,CHURCH STREET,Coffee/Tea
CUCHIFRITO,Manhattan,10029,40.79828609,-73.94086392,EAST  116 STREET,Spanish
LA LOMA,Manhattan,10021,40.76993773,-73.96678921,MADISON AVENUE,
KEEMOFF COFFEE,Manhattan,10128,40.78034382,-73.94682695,1 AVENUE,Coffee/Tea
APPLE GOURMET,Manhattan,10007,40.71186306,-74.00821698,BROADWAY,American
MADHAPPY,Manhattan,10012,40.72169231,-73.99638154,MULBERRY STREET,
LARUSTICA PIZZA,Manhattan,10128,40.78410376,-73.95222966,LEXINGTON AVENUE,Pizza
HEMISPHERE (GOOGLE CAFETERIA),Manhattan,10011,40.74190747,-74.00465888,9 AVENUE,American
PAPPA EMAS CORP,Manhattan,10002,40.71968263,-73.98856414,LUDLOW STREET,
"DONG'S FOOD, INC",Manhattan,10035,40.80325271,-73.93824796,LEXINGTON AVENUE,
CHILLHOUSE 75,Manhattan,10013,40.72321006,-74.00622692,VARICK STREET,
EMERALD INN,Manhattan,10023,40.7792927,-73.98328575,WEST   72 STREET,Irish
GOLDEN CITY CHINESE RESTAURANT,Manhattan,10001,40.75310065,-73.99652059,9 AVENUE,Chinese
OAKBERRY,Manhattan,10001,40.74448158,-73.98851295,BROADWAY,"Juice, Smoothies, Fruit Salads"
HOLIDAY BAR,Manhattan,10014,40.72958903,-74.00282512,DOWNING STREET,
LENA'S ITALIAN KITCHEN,Manhattan,10016,40.74252841,-73.97747406,2 AVENUE,Italian
SATHI,Manhattan,10003,40.73613162,-73.98511887,3 AVENUE,Indian
CHOW HOUSE,Manhattan,10012,40.7290154,-74.00087314,BLEECKER STREET,Chinese
TUBBY HOOK TAVERN,Manhattan,10034,40.86781194,-73.92074976,BROADWAY,American
FERRY HOUSE CAFE,Manhattan,10005,40.70357945,-74.00659657,SOUTH ST,Coffee/Tea
WHITMAN'S,Manhattan,10009,40.72793564,-73.98431973,EAST    9 STREET,American
SERGIMMO SALUMERIA,Manhattan,10018,40.75430557,-73.99561818,9 AVENUE,Italian
ZUCKER'S BAGELS,Manhattan,10017,40.75063902,-73.97664119,LEXINGTON AVENUE,Bagels/Pretzels
CLAUDIO'S PIZZA & PASTA,Manhattan,10036,40.76043458,-73.99487055,10 AVENUE,Pizza
SUN HONG WONG SEAFOOD RESTAURANT,Manhattan,10013,40.71770961,-73.99520934,BOWERY,Chinese
"FOODA, INC.",Manhattan,10036,40.75762868,-73.98580348,BROADWAY,
FARIDA,Manhattan,10005,40.70714753,-74.00837149,CEDAR STREET,Russian
MORGAN STANLEY CONFERENCE CENTER,Manhattan,10036,40.76020869,-73.98533366,BROADWAY,American
PICKLE ME PETE/KNOT HOUSE,Manhattan,10036,40.75406824,-73.98232117,WEST   42 STREET,
1C&J GROUP INC,Manhattan,10034,40.86684498,-73.92358912,BROADWAY,
ZB 501 FIFTH AVE LLC,Manhattan,10017,40.75332138,-73.98054557,EAST   42 STREET,
HOLLYBROOK LANE,Manhattan,10128,40.77862892,-73.94807764,1 AVENUE,
RUAY INFINITY LLC,Manhattan,10019,40.76562918,-73.98242278,WEST   56 STREET,
HARLEM SHARKBAR,Manhattan,10027,40.80920374,-73.94444852,MALCOLM X BOULEVARD,
THE BOILER ROOM,Manhattan,10003,40.72532601,-73.99005681,2 AVENUE,
BAR BENNO,Manhattan,10016,40.74392153,-73.98740152,E 27TH ST,Italian
"NOA, A CAFE",Manhattan,10016,40.74631722,-73.98355029,EAST   32 STREET,
HOP WON EXPRESS,Manhattan,10017,40.7531774,-73.97418954,EAST   45 STREET,Chinese
TASTE OF NYC LLC,Manhattan,10013,40.71733082,-74.00506118,LEONARD STREET,
BANH ANH EM,Manhattan,10003,40.73234691,-73.98785474,3 AVENUE,
HONEST INDIAN RESTAURANT,Manhattan,10012,40.72893581,-74.00075408,BLEECKER STREET,Indian
GLIZZY'S NYC MARKS LLC,Manhattan,10011,40.743082,-74.00865029,11 AVENUE,
I'M DONUT? NY LLC,Manhattan,10036,40.75740066,-73.98422975,WEST   45 STREET,
ONCE MORE,Manhattan,10038,40.71362273,-73.99796554,EAST BROADWAY,
BOCCA DI BACCO,Manhattan,10011,40.74448761,-74.00279688,9 AVENUE,Italian
ITO,Manhattan,10007,40.71318858,-74.01068445,BARCLAY STREET,Japanese
SMILER'S DELI,Manhattan,10022,40.76045639,-73.97370662,MADISON AVENUE,Sandwiches
"E & E NOODLES, INC.",Manhattan,10036,40.75920426,-73.98653591,WEST   46 STREET,
ST. MARK'S BURGER & DOGS.,Manhattan,10003,40.72876502,-73.98810796,SAINT MARKS PLACE,
BITCOIN STEAKHOUSE,Manhattan,10034,40.86135115,-73.92118409,10 AVENUE,
SOCARRAT NOLITA,Manhattan,10012,40.72451389,-73.99511144,MULBERRY STREET,Spanish
TIN BUILDING BY JEAN GEORGES,Manhattan,10038,40.70637378,-74.00288184,SOUTH STREET,
"PT05, INC",Manhattan,10016,40.74750033,-73.98443782,EAST   33 STREET,
L’ARTUSI SUPPER CLUB,Manhattan,10014,40.73330263,-74.00486755,CHRISTOPHER STREET,
ZIEGFELD BALLROOM,Manhattan,10019,40.7630048,-73.98003373,WEST   54 STREET,
JTS WAY LLC,Manhattan,10029,40.79546177,-73.93581013,1 AVENUE,
MAREZZATA,Manhattan,10022,40.75547922,-73.9699403,EAST   50 STREET,
ROSIE'S PIZZA,Manhattan,10018,40.75260595,-73.98738904,BROADWAY,
MASTER PANDA TANGRAM LLC,Manhattan,10036,40.75920426,-73.98653591,WEST   46 STREET,
EMPEROR DUMPLING,Manhattan,10001,40.7462082,-73.99037849,6 AVENUE,Chinese
CHUBBY SKEWER NYC 37TH ST LLC,Manhattan,10018,40.75350655,-73.99072754,WEST   37 STREET,
MAMA,Manhattan,10001,40.74740722,-73.98609078,WEST   32 STREET,Korean
"USE LI F&B MANAGEMENT, LLC",Manhattan,10011,40.74249461,-74.00877652,11 AVENUE,
SANMIWAGO,Manhattan,10011,40.73860012,-73.99965719,7 AVENUE,
HAPPY CAKE NY BAKERY & BISTRO CORP,Manhattan,10040,40.86488836,-73.92843606,BROADWAY,
PETRARCA,Manhattan,10013,40.7187444,-74.00459953,WHITE STREET,Italian
Miss Nellie's,Manhattan,10036,40.75888344,-73.98966915,WEST   44 STREET,
THAI @ LEX,Manhattan,10028,40.77803138,-73.95666075,LEXINGTON AVENUE,Thai
104 DYCKMAN CORP,Manhattan,10040,40.8618477,-73.92491807,DYCKMAN STREET,
ASIA SARIKU & THAI INC,Manhattan,10016,40.74430495,-73.98125555,LEXINGTON AVENUE,
CHIPOTLE MEXICAN GRILL,Manhattan,10027,40.81043671,-73.95179164,WEST  125 STREET,
CHICK-FIL-A,Manhattan,10036,40.75769769,-73.98945998,8 AVENUE,Chicken
STARBUCKS RESERVE,Manhattan,10011,40.73665134,-74.00101758,7 AVENUE,Coffee/Tea
JASPER'S TAPHOUSE & KITCHEN,Manhattan,10019,40.76424658,-73.98840123,9 AVENUE,American
MIDO OMAKASE WEST VILLAGE,Manhattan,10012,40.72987451,-73.9990186,WEST    3 STREET,
GARAGE SALE VINTAGE,Manhattan,10001,40.7451571,-73.99229497,WEST   26 STREET,
MAMA FINA'S,Manhattan,10009,40.72814391,-73.98201779,AVENUE A,Filipino
JUNG LEE,Manhattan,10001,40.74588687,-73.98823121,WEST   29 STREET,
WHOOPIE COMPANY,Manhattan,10004,40.7062633,-74.01290873,BROADWAY,
KPOT KOREAN BBQ & HOT POT,Manhattan,10018,40.75495864,-73.99226496,WEST   38 STREET,
PASTASOLE LLC,Manhattan,10009,40.7297718,-73.98368789,1 AVENUE,
RSE MERCHANDISE LLC,Manhattan,10013,40.72035292,-74.00105341,BROADWAY,
QUICK PHO VIETNAMESE CUISINE,Manhattan,10019,40.75984046,-73.98229436,WEST   49 STREET,
PENN 1 BIRTIE LLC,Manhattan,10119,40.75109132,-73.9929259,PENN PLAZA,
272 UPTOWN PIZZA,Manhattan,10030,40.81624749,-73.94597805,WEST  135 STREET,Pizza
NAYA,Manhattan,10022,40.75679501,-73.97427116,PARK AVENUE,
GO DONUTS LLC,Manhattan,10035,40.79859398,-73.93661976,2 AVENUE,
CITY TAVERN & TABLE LLC,Manhattan,10019,40.77135867,-73.99387687,WEST   57 STREET,
